district_code,subdistrict_code,name,population_2011,males,females,area_sqkm
525,04243,Umarga,215671,110773,104898,976.78
526,04244,Karmala,231290,120795,110495,1588.27
526,04245,Madha,301564,157947,143617,1517.38
526,04246,Barshi,253989,132976,121013,1505.38
526,04247,Solapur North,105794,55267,50527,516.85
526,04248,Mohol,276920,144299,132621,1324.7
526,04249,Pandharpur,343445,179714,163731,1275.52
526,04250,Malshiras,421244,218793,202451,1566.21
526,04251,Sangole,288524,149034,139490,1498.31
526,04252,Mangalvedhe,184108,96045,88063,1143.67
526,04253,Solapur South,260897,134206,126691,1189.57
526,04254,Akkalkot,250890,129267,121623,1406.05
527,04255,Mahabaleshwar,44543,22291,22252,318.46
527,04256,Wai,163453,81313,82140,615.48
527,04257,Khandala,118695,61005,57690,498.37
527,04258,Phaltan,282495,145855,136640,1149.03
527,04259,Man,201514,102017,99497,1394.42
527,04260,Khatav,275274,136802,138472,1364.38
527,04261,Koregaon,215177,107343,107834,859.24
527,04262,Satara,289825,145454,144371,871.15
527,04263,Jaoli,101828,49181,52647,593.25
527,04264,Patan,285730,138112,147618,1380.05
527,04265,Karad,454829,230376,224453,1001
528,04266,Mandangad,62123,27990,34133,425.92
528,04267,Dapoli,144084,65656,78428,839.58
528,04268,Khed,164723,78334,86389,1022.59
528,04269,Chiplun,211586,100997,110589,1091.41
528,04270,Guhagar,121588,53873,67715,628.11
528,04271,Ratnagiri,212850,102847,110003,917.49
528,04272,Sangameshwar,185654,86549,99105,1240.34
528,04273,Lanja,92609,42812,49797,729.64
528,04274,Rajapur,156129,71155,84974,1194.75
529,04275,Devgad,120909,58938,61971,808.15
529,04276,Vaibhavvadi,43845,20563,23282,432.72
529,04277,Kankavli,110886,53835,57051,769.61
529,04278,Malwan,93159,45347,47812,633.15
529,04279,Vengurla,73409,36039,37370,289.05
529,04280,Kudal,139609,69088,70521,840.19
529,04281,Sawantwadi,111924,55216,56708,869.74
529,04282,Dodamarg,48904,24242,24662,500.1
530,04283,Shahuwadi,180322,89170,91152,1023.33
530,04284,Panhala,251603,131472,120131,559.47
530,04285,Hatkanangle,407228,210277,196951,540.43
530,04286,Shirol,320133,164223,155910,468.52
530,04287,Karvir,382004,199832,182172,543.24
530,04288,Bavda,35772,18467,17305,278.02
530,04289,Radhanagari,199713,103190,96523,880.75
530,04290,Kagal,230072,117947,112125,454.01
530,04291,Bhudargad,150368,75824,74544,635.63
530,04292,Ajra,103008,48568,54440,536.08
530,04293,Gadhinglaj,198549,97109,101440,469
530,04294,Chandgad,187220,92736,94484,956.48
531,04295,Shirala,162911,80838,82073,625.67
531,04296,Walwa,351506,181554,169952,651.95
531,04297,Palus,164909,85298,79611,297.34
531,04298,Kadegaon,143019,71768,71251,575.68
531,04299,Khanapur (Vita),121925,59931,61994,676.42
531,04300,Atpadi,138455,69410,69045,863.56
531,04301,Tasgaon,213456,108687,104769,776.32
531,04302,Miraj,325954,167767,158187,786.72
531,04303,Kavathemahankal,152327,77615,74712,724.29
531,04304,Jat,328324,168256,160068,2239.77
